Idade;Qtd_total;Qtd_Obitos;Percentual_Obitos
0.0;642;42;6.5420560747663545
1.0;289;7;2.422145328719723
2.0;192;7;3.6458333333333335
3.0;174;7;4.022988505747127
4.0;146;3;2.054794520547945
5.0;131;10;7.633587786259542
6.0;139;3;2.158273381294964
7.0;147;4;2.7210884353741496
8.0;148;7;4.72972972972973
9.0;156;5;3.205128205128205
10.0;163;2;1.2269938650306749
11.0;185;6;3.2432432432432434
12.0;187;4;2.13903743315508
13.0;216;12;5.555555555555555
14.0;285;13;4.56140350877193
15.0;296;18;6.081081081081082
16.0;379;22;5.804749340369393
17.0;470;15;3.1914893617021276
18.0;543;21;3.867403314917127
19.0;692;26;3.7572254335260116
20.0;877;43;4.903078677309008
21.0;1060;55;5.188679245283019
22.0;1208;66;5.4635761589403975
23.0;1346;89;6.6121842496285295
24.0;1585;83;5.236593059936909
25.0;1884;136;7.218683651804671
26.0;1927;123;6.382978723404255
27.0;2191;136;6.207211319032405
28.0;2275;171;7.5164835164835155
29.0;2615;183;6.998087954110899
30.0;2953;219;7.41618692854724
31.0;3341;264;7.901825800658485
32.0;3704;257;6.938444924406048
33.0;3995;303;7.584480600750938
34.0;4508;326;7.231588287488909
35.0;4917;373;7.585926377872687
36.0;5316;393;7.3927765237020315
37.0;6109;475;7.775413324603045
38.0;6976;525;7.525802752293578
39.0;7375;593;8.040677966101695
40.0;7641;570;7.45975657636435
41.0;8200;658;8.02439024390244
42.0;8510;664;7.802585193889541
43.0;8944;743;8.307245080500895
44.0;9159;787;8.592641118025986
45.0;9803;853;8.701417933285729
46.0;10035;888;8.849028400597907
47.0;10267;955;9.301646050452907
48.0;10882;1035;9.511119279544202
49.0;11366;1122;9.871546718282598
50.0;11611;1123;9.671862888640083
51.0;12421;1263;10.16826342484502
52.0;12991;1344;10.345623893464706
53.0;13485;1522;11.28661475713756
54.0;13782;1511;10.96357567842113
55.0;14440;1823;12.624653739612187
56.0;14592;1841;12.616502192982457
57.0;14712;2036;13.839042958129419
58.0;14338;2078;14.492955781838472
59.0;14145;2181;15.418875927889713
60.0;13903;2247;16.161979428900235
61.0;13710;2260;16.484318016046682
62.0;14070;2488;17.683013503909027
63.0;13761;2544;18.487028558971005
64.0;13499;2737;20.275575968590264
65.0;12976;2698;20.792231812577068
66.0;12982;2858;22.015097827761515
67.0;12286;2804;22.822725052905746
68.0;11666;2770;23.744213955083147
69.0;10808;2678;24.777942264988898
70.0;10649;2670;25.07277678655273
71.0;10027;2751;27.435923007878728
72.0;9676;2766;28.58619264158743
73.0;8976;2616;29.144385026737968
74.0;8614;2678;31.0889250058045
75.0;7657;2474;32.31030429672195
76.0;7444;2463;33.08704997313273
77.0;7082;2391;33.76164925162384
78.0;6503;2319;35.66046440104567
79.0;5790;2191;37.841105354058726
80.0;5661;2211;39.05670376258612
81.0;5291;2023;38.23473823473824
82.0;4805;2025;42.14360041623309
83.0;4561;1950;42.75378206533655
84.0;4515;1976;43.76522702104098
85.0;3962;1783;45.002523977789
86.0;3321;1521;45.799457994579946
87.0;2994;1400;46.760187040748164
88.0;2821;1389;49.237858915278274
89.0;2365;1177;49.76744186046512
